ts,priceDiff,margin,sell_exchange_name,buy_exchange_name,sell_pair,buy_pair,sell_price,buy_price,sell_amount,buy_amount,sell_margin,buy_margin,suggested_buy_amount,suggested_sell_amount,gross_margin,trade_decision
2020-02-19 03:29:55.244640,0.0008150700000000288,0.002768251715243259,binance,bittrex,XRP-USDT,XRP-USDT,0.29525,0.29443493,2265.0,1366.7319730000002,-697.9907230000001,-2376.881223127977,668.74125,2265.0,1.8512441123663166,False
2020-02-19 03:30:03.231135,0.000654950000000043,0.0022244294624571464,binance,bittrex,XRP-USDT,XRP-USDT,0.29509,0.29443505,2265.0,1366.7319730000002,-698.3531230000001,-2376.8793312820617,668.37885,2265.0,1.4867616060231512,False
2020-02-19 03:30:12.442364,0.0008145900000000039,0.002766616963632207,binance,bittrex,XRP-USDT,XRP-USDT,0.29525,0.29443541,2265.0,1366.7319730000002,-697.9907230000001,-2376.873655753566,668.74125,2265.0,1.850150886530514,False
2020-02-19 03:30:20.635798,0.0006842599999999921,0.0023239705886248458,binance,bittrex,XRP-USDT,XRP-USDT,0.29512,0.29443574,2265.0,1366.7319730000002,-698.2851730000002,-2376.8684531979716,668.4467999999999,2265.0,1.5534507032604097,False
2020-02-19 03:30:28.627022,0.0007041799999999987,0.002391624769024362,binance,bittrex,XRP-USDT,XRP-USDT,0.29514,0.29443582,2265.0,1366.7319730000002,-698.2398730000001,-2376.867191974129,668.4921,2265.0,1.5987822642571246,False
2020-02-19 03:30:36.409845,0.0005938900000000413,0.0020170419993663187,binance,bittrex,XRP-USDT,XRP-USDT,0.29503,0.29443611,2265.0,1366.7319730000002,-698.4890230000001,-2376.8626200434464,668.2429500000001,2265.0,1.3478740959304787,False
2020-02-19 03:30:44.193562,0.0008138200000000206,0.0027639945607228727,binance,bittrex,XRP-USDT,XRP-USDT,0.29525,0.29443618,2265.0,1366.7319730000002,-697.9907230000001,-2376.86151647532,668.74125,2265.0,1.8483971775310692,False
2020-02-19 03:30:52.176648,0.000773749999999962,0.002627903323724446,binance,bittrex,XRP-USDT,XRP-USDT,0.29521,0.29443625,2265.0,1366.7319730000002,-698.0813230000002,-2376.8604129077185,668.6506499999999,2265.0,1.7571492655455359,False
2020-02-19 03:31:00.169318,0.0005934700000000404,0.002015612668713493,binance,bittrex,XRP-USDT,XRP-USDT,0.29503,0.29443653,2265.0,1366.7319730000002,-698.4890230000001,-2376.8559986425607,668.2429500000001,2265.0,1.346918955798401,False
2020-02-19 03:31:08.149225,0.000643349999999987,0.002185020105343499,binance,bittrex,XRP-USDT,XRP-USDT,0.29508,0.29443665,2265.0,1366.7319730000002,-698.3757730000001,-2376.8541068172053,668.3562000000001,2265.0,1.4603717345310088,False
2020-02-19 03:31:15.934800,0.0006630899999999773,0.002252061400861656,binance,bittrex,XRP-USDT,XRP-USDT,0.2951,0.29443691,2265.0,1366.7319730000002,-698.3304730000002,-2376.8500078675606,668.4014999999999,2265.0,1.5052812184279674,False
2020-02-19 03:31:23.924339,0.0007029500000000355,0.0023874373146994766,binance,bittrex,XRP-USDT,XRP-USDT,0.29514,0.29443705,2265.0,1366.7319730000002,-698.2398730000001,-2376.847800743827,668.4921,2265.0,1.5959829841218607,False
2020-02-19 03:31:31.709746,0.000592719999999991,0.0020130603026899006,binance,bittrex,XRP-USDT,XRP-USDT,0.29503,0.29443728,2265.0,1366.7319730000002,-698.4890230000001,-2376.8441747593924,668.2429500000001,2265.0,1.3452133551974157,False
2020-02-19 03:31:39.692775,0.0007926199999999661,0.002691981568372759,binance,bittrex,XRP-USDT,XRP-USDT,0.29523,0.29443738,2265.0,1366.7319730000002,-698.0360230000001,-2376.8425982461877,668.69595,2265.0,1.80011717224545,False
2020-02-19 03:31:47.477852,0.0008022899999999833,0.002724820811845002,binance,bittrex,XRP-USDT,XRP-USDT,0.29524,0.29443771,2265.0,1366.7319730000002,-698.0133730000001,-2376.8373957602107,668.7186,2265.0,1.822138358547818,False
2020-02-19 03:31:55.668005,0.000642150000000008,0.0021809356371811843,binance,bittrex,XRP-USDT,XRP-USDT,0.29508,0.29443785,2265.0,1366.7319730000002,-698.3757730000001,-2376.8351886484706,668.3562000000001,2265.0,1.457641854911003,False
2020-02-19 03:32:03.657989,0.0006518000000000357,0.0022137073246611197,binance,bittrex,XRP-USDT,XRP-USDT,0.29509,0.2944382,2265.0,1366.7319730000002,-698.3531230000001,-2376.8296708783037,668.37885,2265.0,1.4795951558935485,False
2020-02-19 03:32:12.260524,0.0006517000000000328,0.0022133669430914145,binance,bittrex,XRP-USDT,XRP-USDT,0.29509,0.2944383,2265.0,1366.7319730000002,-698.3531230000001,-2376.8280943749514,668.37885,2265.0,1.479367652051451,False
2020-02-19 03:32:20.244612,0.000651349999999995,0.002212175609418108,binance,bittrex,XRP-USDT,XRP-USDT,0.29509,0.29443865,2265.0,1366.7319730000002,-698.3531230000001,-2376.822576621649,668.37885,2265.0,1.4785713898210133,False
2020-02-19 03:32:28.232911,0.0008112399999999909,0.0027552079080892435,binance,bittrex,XRP-USDT,XRP-USDT,0.29525,0.29443876,2265.0,1366.7319730000002,-697.9907230000001,-2376.820842473321,668.74125,2265.0,1.8425211804654964,False
2020-02-19 03:32:36.772685,0.0008108500000000296,0.0027538797065540695,binance,bittrex,XRP-USDT,XRP-USDT,0.29525,0.29443915,2265.0,1366.7319730000002,-697.9907230000001,-2376.81469413969,668.74125,2265.0,1.841632957310594,False
2020-02-19 03:32:45.223788,0.0007906899999999828,0.002685409091605271,binance,bittrex,XRP-USDT,XRP-USDT,0.29523,0.29443931,2265.0,1366.7319730000002,-698.0360230000001,-2376.812171751116,668.69595,2265.0,1.7957221836495592,False
2020-02-19 03:32:53.827602,0.0007904499999999981,0.002684591794818319,binance,bittrex,XRP-USDT,XRP-USDT,0.29523,0.29443955,2265.0,1366.7319730000002,-698.0360230000001,-2376.8083881733965,668.69595,2265.0,1.795175660598261,False
2020-02-19 03:33:02.023072,0.0006403300000000223,0.002174740924006681,binance,bittrex,XRP-USDT,XRP-USDT,0.29508,0.29443967,2265.0,1366.7319730000002,-698.3757730000001,-2376.80649638685,668.3562000000001,2265.0,1.4535015799535813,False
